,Airline,Arrival airport,Codesharing,Scheduled departure,delay,iataNumber,status
11231,united airlines,mco,True,2023-09-09t23:19:00.000,96.0,ua221,active
11232,united airlines,hkg,True,2023-09-09t23:20:00.000,83.0,ua877,active
11235,united airlines,rdu,True,2023-09-09t23:20:00.000,30.0,ua1707,active
11238,alaska airlines,jfk,True,2023-09-09t23:25:00.000,11.0,as42,active
11241,asiana airlines,icn,True,2023-09-09t23:30:00.000,38.0,oz211,active
11246,united airlines,iah,True,2023-09-09t23:30:00.000,16.0,ua505,active
11250,united airlines,iad,True,2023-09-09t23:31:00.000,17.0,ua519,active
11254,fiji airways,nan,True,2023-09-09t23:35:00.000,23.0,fj871,active
11256,united airlines,bna,True,2023-09-09t23:35:00.000,3.0,ua283,active
11258,united airlines,icn,True,2023-09-09t23:45:00.000,67.0,ua805,active
11263,united airlines,mel,True,2023-09-09t23:50:00.000,43.0,ua60,active
11265,aeromexico,mex,True,2023-09-09t23:53:00.000,9.0,am665,active
11271,american airlines,mia,True,2023-09-09t23:55:00.000,16.0,aa2389,active
11275,united airlines,ord,True,2023-09-09t23:56:00.000,16.0,ua402,active
11278,delta air lines,atl,True,2023-09-09t23:55:00.000,8.0,dl959,active
11279,philippine airlines,mnl,True,2023-09-09t23:55:00.000,0.0,pr105,active
11281,netjets aviation,sbp,True,2023-09-09t17:00:00.000,126.0,1i691,active
11288,united airlines,slc,True,2023-09-09t19:00:00.000,12.0,ua5590,active
11289,air india,bom,True,2023-09-09t22:15:00.000,46.0,ai180,active
11291,united airlines,bwi,True,2023-09-09t23:59:00.000,56.0,ua643,active
11294,united airlines,iah,True,2023-09-10t00:50:00.000,29.0,ua278,active
11299,eva air,tpe,True,2023-09-10t01:00:00.000,34.0,br17,active
11301,china airlines,tpe,True,2023-09-10t01:05:00.000,21.0,ci3,active
11303,sa avianca,sal,True,2023-09-10t01:15:00.000,12.0,av561,active
11308,eva air,tpe,True,2023-09-10t01:20:00.000,25.0,br27,active
11311,copa airlines,pty,True,2023-09-10t01:20:00.000,19.0,cm383,active
11313,ana,hnd,True,2023-09-10t01:20:00.000,30.0,nh107,active
11314,air china ltd,pek,True,2023-09-10t01:30:00.000,0.0,ca786,active
11317,cathay pacific,hkg,True,2023-09-10t01:45:00.000,19.0,cx851,active
11318,korean air,icn,True,2023-09-10t03:25:00.000,0.0,ke214,active
11321,united airlines,iah,True,2023-09-10t05:00:00.000,14.0,ua274,active
11325,united airlines,den,True,2023-09-10t05:00:00.000,5.0,ua2087,active
11329,united airlines,ord,True,2023-09-10t05:15:00.000,13.0,ua2631,active
11334,delta air lines,dtw,True,2023-09-10t05:35:00.000,9.0,dl403,active
11335,american airlines,clt,True,2023-09-10t05:49:00.000,13.0,aa2910,active
11338,american airlines,dfw,True,2023-09-10t06:00:00.000,14.0,aa1198,active
11345,american airlines,ord,True,2023-09-10t06:00:00.000,13.0,aa2614,active
11348,alaska airlines,pdx,True,2023-09-10t06:00:00.000,33.0,as3355,active
11354,jetblue airways,bos,True,2023-09-10t06:00:00.000,6.0,b6434,active
11368,delta air lines,lax,True,2023-09-10t06:00:00.000,19.0,dl2841,active
11369,southwest airlines,den,True,2023-09-10t06:00:00.000,31.0,wn2345,active
11373,delta air lines,slc,True,2023-09-10t06:01:00.000,10.0,dl2356,active
11378,frontier airlines,den,True,2023-09-10t06:05:00.000,14.0,f9664,active
11380,alaska airlines,san,True,2023-09-10t06:10:00.000,17.0,as3443,active
11386,delta air lines,atl,True,2023-09-10t06:10:00.000,11.0,dl690,active
11396,air canada,yyz,True,2023-09-10t06:15:00.000,23.0,ac736,active
11399,alaska airlines,ewr,True,2023-09-10t06:15:00.000,15.0,as292,active
11402,united airlines,san,True,2023-09-10t06:15:00.000,16.0,ua1788,active
11407,delta air lines,sea,True,2023-09-10t06:20:00.000,8.0,dl2310,active
11408,southwest airlines,phx,True,2023-09-10t06:20:00.000,14.0,wn3837,active
11413,united airlines,ord,True,2023-09-10t06:25:00.000,10.0,ua1092,active
11417,delta air lines,msp,True,2023-09-10t06:30:00.000,9.0,dl451,active
11420,air canada,yvr,True,2023-09-10t06:45:00.000,12.0,ac563,active
11422,alaska airlines,sna,True,2023-09-10t06:45:00.000,14.0,as3440,active
11426,united airlines,den,True,2023-09-10t06:45:00.000,26.0,ua2312,active
11429,alaska airlines,las,True,2023-09-10t06:55:00.000,12.0,as3359,active
11438,american airlines,clt,True,2023-09-10t07:00:00.000,9.0,aa1960,active
11441,alaska airlines,jfk,True,2023-09-10t07:00:00.000,13.0,as28,active
11445,alaska airlines,hnl,True,2023-09-10t07:00:00.000,16.0,as819,active
11452,alaska airlines,sea,True,2023-09-10t07:00:00.000,28.0,as1145,active
11458,alaska airlines,lax,True,2023-09-10t07:00:00.000,15.0,as1308,active
11466,united airlines,ewr,True,2023-09-10t07:00:00.000,19.0,ua1411,active
11467,southwest airlines,las,True,2023-09-10t07:00:00.000,9.0,wn1428,active
11468,hawaiian airlines,ogg,True,2023-09-10t07:05:00.000,0.0,ha41,active
11470,jetblue airways,lax,True,2023-09-10t07:10:00.000,10.0,b62435,active
11471,southwest airlines,san,True,2023-09-10t07:20:00.000,38.0,wn2579,active
11475,westjet,yyc,True,2023-09-10t07:30:00.000,6.0,ws1521,active
11480,alaska airlines,bos,True,2023-09-10t07:40:00.000,7.0,as356,active
11487,alaska airlines,ord,True,2023-09-10t07:40:00.000,11.0,as598,active
11490,united airlines,iah,True,2023-09-10t07:40:00.000,14.0,ua2009,active
11493,american airlines,dfw,True,2023-09-10t07:46:00.000,11.0,aa2904,active
11501,delta air lines,atl,True,2023-09-10t07:50:00.000,12.0,dl452,active
11505,united airlines,lax,True,2023-09-10t07:50:00.000,10.0,ua1331,active
11512,american airlines,mia,True,2023-09-10t08:00:00.000,15.0,aa651,active
11514,american airlines,phx,True,2023-09-10t08:00:00.000,16.0,aa2411,active
11519,air canada,yul,True,2023-09-10t08:00:00.000,13.0,ac760,active
11522,alaska airlines,dca,True,2023-09-10t08:00:00.000,20.0,as8,active
11527,alaska airlines,iad,True,2023-09-10t08:00:00.000,17.0,as434,active
11528,southwest airlines,bur,True,2023-09-10t08:00:00.000,12.0,wn2689,active
11531,united airlines,sna,True,2023-09-10t08:06:00.000,8.0,ua4776,active
